gas,de0,re0,c60,de2,re2,c62,b,mu,e_rate,ie_rate,tot_rate
H2,7.27039879296524,6.392774468860418,156.0,48.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.5888400000000003,0.04031,3.62915
H2,7.27039879296524,6.392774468860418,156.0,52.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.89619,0.0428399999999999,3.93903
H2,7.27039879296524,6.392774468860418,156.0,56.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.32684,0.05027,3.37711
H2,7.27039879296524,6.392774468860418,156.0,60.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.68578,0.05377,3.73955
H2,7.27039879296524,6.392774468860418,156.0,64.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.86785,0.055,3.92285
H2,7.27039879296524,6.392774468860418,156.0,68.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.40442,0.05985,3.46427
H2,7.27039879296524,6.392774468860418,156.0,72.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.72106,0.06939,3.79045
H2,7.27039879296524,6.392774468860418,156.0,76.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.80802,0.0693599999999999,3.87739
H2,7.27039879296524,6.392774468860418,156.0,80.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.61992,0.06844,3.68836
H2,7.27039879296524,6.392774468860418,156.0,84.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.67805,0.07787,3.75593
H2,7.27039879296524,6.392774468860418,156.0,88.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.82285,0.08581,3.90866
H2,7.27039879296524,6.392774468860418,156.0,92.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.91453,0.08442,3.99895
H2,7.27039879296524,6.392774468860418,156.0,96.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.5706899999999995,0.08216,3.65286
H2,7.27039879296524,6.392774468860418,156.0,100.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.82304,0.09394,3.91698
H2,7.27039879296524,6.392774468860418,156.0,104.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.82931,0.10257,3.93187
H2,7.27039879296524,6.392774468860418,156.0,108.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.87269,0.09837,3.97107
H2,7.27039879296524,6.392774468860418,156.0,112.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.70078,0.0928399999999999,3.79362
H2,7.27039879296524,6.392774468860418,156.0,116.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.88953,0.10574,3.99528
H2,7.27039879296524,6.392774468860418,156.0,120.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.82946,0.1184,3.94787
H2,7.27039879296524,6.392774468860418,156.0,124.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.79513,0.1150799999999999,3.91021
H2,7.27039879296524,6.392774468860418,156.0,128.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.77435,0.10459,3.87894
H2,7.27039879296524,6.392774468860418,156.0,132.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.91715,0.11213,4.02928
H2,7.27039879296524,6.392774468860418,156.0,136.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.84693,0.1309199999999999,3.97785
H2,7.27039879296524,6.392774468860418,156.0,140.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.87321,0.13256,4.00577
H2,7.27039879296524,6.392774468860418,156.0,144.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.80562,0.11727,3.92289
H2,7.27039879296524,6.392774468860418,156.0,148.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.95113,0.11534,4.06647
H2,7.27039879296524,6.392774468860418,156.0,152.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.90336,0.13604,4.0394000000000005
H2,7.27039879296524,6.392774468860418,156.0,156.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.98328,0.15043,4.13371
H2,7.27039879296524,6.392774468860418,156.0,160.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.80298,0.13791,3.94089
H2,7.27039879296524,6.392774468860418,156.0,164.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.98867,0.12448,4.11315
